Original Cell Type Name,Standardized Celltype Name
FT246_Epithelium_Fallopian_tube_secretory,FT246_Epithelium_Fallopian_tube_secretory
FT33_Epithelium_Fallopian_tube_secretory,FT33_Epithelium_Fallopian_tube_secretory
FU97_Gastric_Cancer_Line,FU97_Gastric_Cancer_Line
G-401_Kidney,G-401_Kidney_Rhabdoid_Tumor
G-401_Malignant_rhabdoid_tumor,G-401_Kidney_Rhabdoid_Tumor
Gastric,Gastric
Gastric_Primary_Sample,Gastric
gastrocnemius_medialis,gastrocnemius_medialis
gastroesophageal_sphincter,gastroesophageal_sphincter
GBM1A_Glioblastoma_Stem_Cell,GBM1A_Glioblastoma_Stem_Cell
GBM1B_Glioblastoma_Stem_Cell,GBM1B_Glioblastoma_Stem_Cell
Gen2.2,Gen2.2_Plasmacytoid_dendritic_cell
Gen2.2_Plasmacytoid_dendritic_cell,Gen2.2_Plasmacytoid_dendritic_cell
GI-CA-N_Neuroblastoma_cell,GI-CA-N_Neuroblastoma_cell
GIST48_Mesenchymal_Stem_Cell_Stomach,GIST48_Mesenchymal_Stem_Cell_Stomach
GLC-16_Epithelium_Lung,GLC-16_Epithelium_Lung
Glial_Cell,Glial_Cell
Gliobla,Glioblastoma_Brain
Glioblastoma,Glioblastoma_Brain
Glioblastoma_Brain,Glioblastoma_Brain
Glioblastoma_cell,Glioblastoma_Brain
Glioblastoma_Multiforme_Stem_Like,Glioblastoma_Multiforme_Stem_Like
Glioblastoma_Stem_Cell,Glioblastoma_Stem_Cell
glioma_tumorsphere,glioma_tumorsphere
Globus_Pallidus,Globus_Pallidus
glomerular_visceral_epithelial_cell,glomerular_visceral_epithelial_cell
GM00011_Fibroblast_Fetal_Skin,GM00011_Fibroblast_Fetal_Skin
GM00739_Fibroblast,GM00739_Fibroblast
GM01660_Fibroblast,GM01660_Fibroblast
GM02171_Fibroblast,GM02171_Fibroblast
GM03164_Patient,GM03164_Patient
GM04503_Fibroblast_Skin,GM04503_Fibroblast_Skin
GM04504_Fibroblast_Skin,GM04504_Fibroblast_Skin
GM06170_Fibroblast_Fetal_Skin,GM06170_Fibroblast_Fetal_Skin
GM06990,GM06990_B_Lymphocyte_Blood
GM06990_B_Lymphocyte_Blood,GM06990_B_Lymphocyte_Blood
GM06990_Lymphoblastoid,GM06990_B_Lymphocyte_Blood
"GM06993,_GM11992_Lymphoblastoid_Blood","GM06993,_GM11992_Lymphoblastoid_Blood"
GM08714,GM08714_Blood
GM08714_Blood,GM08714_Blood
GM10248_Lymphoblastoid_Blood,GM10248_Lymphoblastoid_Blood
GM10266_Lymphoblastoid_Blood,GM10266_Lymphoblastoid_Blood
GM10847,GM10847_Lymphoblastoid_Blood
GM10847_Lymphoblastoid_Blood,GM10847_Lymphoblastoid_Blood
GM10855_Lymphocyte_Blood,GM10855_Lymphocyte_Blood
GM10861_Lymphocyte_Blood,GM10861_Lymphocyte_Blood
